DID,ShiftSeqNumber,Total_Income,Distance,Income_per_1Kdis,Rank
11111,2,77.01,14726,5.229526008,8649
950186,590,71052,10546437,6.737062005,4832
950210,1010,77515,12319620,6.291996019,2855
950224,607,42137.5,8901538,4.73373253,6202
950292,304,38709,5662076,6.8365384,7174
950313,716,69461,10522802,6.600998479,4617
950329,125,5689.5,1007053,5.649652997,8406
950383,756,77314.5,12058110,6.411825734,3666
950420,1793,114565.05,21630468,5.29646654,100
950439,924,48068.5,9033344,5.321229879,5416
950497,625,84338.5,13153763,6.411739363,3334
950569,1072,93356.5,17433657,5.354957941,819
950685,20,695.5,109136,6.372782583,8606
950884,315,24984,4312066,5.793974396,7634
950940,1039,76545.72,13407662,5.70910275,2496
950968,625,84392,12432528,6.787999995,3542
954615,1368,27448,197540,138.9490736,6235
954666,298,5553.5,62918,88.26567914,8193
954777,1998,34735,34827,997.3583714,225
960104,606,75698.5,11417862,6.629831399,4358
960111,916,54779.71,10621883,5.157250367,4806
960132,772,62462.5,13178369,4.739774702,4136
960285,689,76997.5,11204295,6.872141442,4120
960332,591,65415.5,9396510,6.961680454,5318
960446,1233,54468.08,9912686,5.494785167,4212
960504,407,49067.09,7849943,6.2506301,6478
960532,1360,61009.5,10875925,5.609591828,3217
960674,1107,57716,10923241,5.283779787,4098
960691,687,72962,10762910,6.779021659,4462
960699,1188,47485.5,8065813,5.887255259,5089
960715,1335,57891,10154605,5.700960303,3659
960820,315,13897.94,2177351,6.382958007,8075
960869,929,92355,15526979,5.948034064,1442
960887,1053,49502.1,8850085,5.593403905,5125
961066,807,84351.5,15212321,5.5449461,2216
961169,780,68272,10912808,6.256134993,4425
961174,1170,48200.57,8258898,5.836198728,5056
961301,726,83909.51,14108104,5.947610678,2786
961346,1696,74339.02,13197555,5.632787285,1101
961373,858,70766.5,11017556,6.423066967,4044
961401,599,52623,8086532,6.507486769,5991
961545,1564,72589.5,13625767,5.327369828,1319
961576,1801,83756.5,14835758,5.645582787,523
961646,254,25051,4037105,6.205189114,7730
961682,528,61738.5,9806641,6.295580719,5512
961705,1756,71078.5,12590780,5.645281706,1219
961872,1420,60175.5,10570069,5.693009194,3183
961888,603,69439,11492466,6.042132298,4647
961977,532,59740,8647051,6.908713734,5781
962010,334,36765,5623782,6.537415568,7186
962131,1021,68261.51,12549841,5.439233055,3296
962153,1232,57982.5,11207083,5.173737002,3653
962198,889,77013.12,12958539,5.943040338,3045
962230,2410,108385.5,19317803,5.610653551,56
962247,871,63064.5,13392054,4.709098395,3757
962270,1288,55935,10180701,5.494218915,3886
970004,2024,97887.5,17764128,5.510402762,206
970145,1500,73329.5,13499472,5.432027267,1472
970223,1194,64726.4,12424849,5.209431519,3025
970414,695,59704.5,9695578,6.157910338,5272
970463,752,72891,10889421,6.693744323,4258
970478,761,76871.5,15882645,4.839968406,2559
970480,1236,72486,13769753,5.264146713,2104
970721,962,91762.35,13856791,6.622193407,1785
970744,234,11034,1925882,5.72932298,8206
970932,1294,71667.54,13773908,5.203137701,1987
970936,1168,69173.51,14014320,4.935916263,2369
971039,660,75045,11796314,6.361732996,4143
971049,708,42462.5,8134164,5.220266029,6153
971098,792,75559.5,11716581,6.448937621,3758
971116,612,81707.5,12183190,6.706576849,3789
971204,676,41599,8080151,5.148294877,6257
971230,768,85462.5,13037757,6.55500022,2889
971257,909,73102,14268222,5.123413415,2827
971355,1481,67202.5,12250798,5.485561022,2134
971361,460,51202,7488711,6.837224724,6377
971375,1496,68425.51,11950369,5.725807295,2116
971622,1210,54798,9437798,5.806227258,4390
971691,785,73428.5,12317236,5.961442973,3725
971720,625,42940.5,8700894,4.935182523,6180
971913,997,56327.5,10814794,5.20837475,4495
971919,1417,66796.01,11709013,5.704666141,2458
971990,1126,76879,15303286,5.023692297,1754
972028,703,54737,10820645,5.058570908,5218
972054,1190,71132.5,13019740,5.463434754,2480
980119,809,91473.5,14640305,6.248059723,1999
980122,1043,58193,10967343,5.306025352,4241
980130,1125,60065,11703439,5.132252153,3694
980134,989,61167.78,11980262,5.105713047,3933
980239,1402,69572.5,12532499,5.55136689,2142
980253,1385,94452.5,17742533,5.323507078,466
980304,1285,56183,9647341,5.823677218,4047
980421,1274,81818.02,16215947,5.045528331,1037
980433,486,60587.5,9211408,6.577441798,5731
980452,467,74542.58,11782839,6.326368374,4664
980474,32,1215.09,204891,5.930421541,8576
980509,608,65271.5,9532264,6.8474289,5256
980551,641,69706,10327306,6.749678958,4829
